Region,Category,Sales_Amount,Units_Sold,Profit,Customer_Satisfaction,Date
North America,Software,15400.50,120,4500.25,4.8,2025-01-05
North America,Hardware,28900.00,85,6200.00,4.2,2025-01-08
Europe,Software,12300.75,95,3800.50,4.6,2025-01-12
Europe,Services,8500.00,40,2100.00,4.5,2025-01-15
Asia Pacific,Hardware,34200.20,150,8900.80,4.9,2025-01-18
Asia Pacific,Software,19800.00,110,5400.00,4.7,2025-01-22
Latin America,Services,6200.00,30,1400.00,4.1,2025-01-25
North America,Services,11400.00,55,3100.00,4.4,2025-02-01
Europe,Hardware,22100.00,70,4900.00,4.3,2025-02-05
Asia Pacific,Services,9900.00,45,2600.00,4.8,2025-02-10
Latin America,Software,8700.50,60,2200.25,4.0,2025-02-14
North America,Software,18900.00,135,5800.00,4.9,2025-02-18
Europe,Software,14500.00,105,4200.00,4.7,2025-02-22
Asia Pacific,Hardware,41000.00,180,11200.00,5.0,2025-02-26
Latin America,Hardware,15600.00,65,3400.00,4.2,2025-03-01
North America,Hardware,31000.00,90,7100.00,4.5,2025-03-05
Europe,Services,9200.00,42,2300.00,4.6,2025-03-10
Asia Pacific,Software,24500.00,140,7300.00,4.8,2025-03-15
Latin America,Services,7100.00,35,1600.00,4.3,2025-03-20
North America,Services,13800.00,62,3900.00,4.6,2025-03-25
Europe,Hardware,25400.00,78,5600.00,4.4,2025-03-28
Asia Pacific,Services,11200.00,50,2900.00,4.7,2025-04-02
Latin America,Software,9500.00,68,2500.00,4.1,2025-04-08
North America,Software,21500.00,145,6700.00,4.9,2025-04-12
Europe,Software,16800.00,115,4900.00,4.8,2025-04-18
Asia Pacific,Hardware,45000.00,195,12800.00,5.0,2025-04-22
Latin America,Hardware,17200.00,72,3900.00,4.3,2025-04-28
North America,Hardware,33500.00,98,7900.00,4.6,2025-05-02
Europe,Services,10400.00,48,2700.00,4.5,2025-05-08
Asia Pacific,Software,27800.00,155,8400.00,4.9,2025-05-15
